Time (Uganda),Battery,Humidity,Motion,Temperature
2025-10-05 21:24:46,3.074,70.3,4324,24.87
2025-10-05 21:27:54,3.074,69.8,4338,24.9
2025-10-05 21:30:34,3.074,69.4,4346,24.9
2025-10-05 21:32:35,3.075,69.6,4350,24.89
2025-10-05 21:32:56,3.074,69.5,4351,24.89
2025-10-05 21:35:02,3.073,69.5,4354,24.89
2025-10-05 21:37:05,3.074,69.6,4376,24.89
2025-10-05 21:39:07,3.075,69.5,4384,24.9
2025-10-05 21:42:56,3.075,69.4,4400,24.92
2025-10-05 21:45:11,3.073,69.3,4401,24.89
2025-10-05 21:52:50,3.075,69.4,4412,24.86
2025-10-05 21:52:57,3.075,69.3,4413,24.86
2025-10-05 21:56:35,3.074,69.4,4419,24.85
2025-10-05 21:59:17,3.075,69.5,4422,24.85
2025-10-05 22:02:55,3.074,69.6,4426,24.83
2025-10-05 22:03:11,3.074,69.7,4427,24.86
2025-10-05 22:05:55,3.075,69.8,4428,24.83
2025-10-05 22:10:54,3.073,69.9,4432,24.82
2025-10-05 22:12:55,3.076,70,4440,24.82
2025-10-05 22:13:02,3.075,70.1,4441,24.82
2025-10-05 22:15:03,3.074,70.2,4460,24.82
2025-10-05 22:17:16,3.074,69.9,4462,24.83
2025-10-05 22:19:20,3.075,69.8,4465,24.85
2025-10-05 22:22:21,3.074,69.6,4468,24.85
2025-10-05 22:22:55,3.074,69.7,4473,24.83
2025-10-05 22:24:24,3.077,69.8,4489,24.86
2025-10-05 22:26:28,3.075,70.5,4515,24.85
2025-10-05 22:28:29,3.074,70.4,4532,24.86
2025-10-05 22:30:29,3.074,70.2,4550,24.87
2025-10-05 22:32:32,3.074,70.3,4577,24.87
2025-10-05 22:32:55,3.076,70.3,4582,24.86
2025-10-05 22:34:41,3.075,70.9,4607,24.9
2025-10-05 22:42:54,3.075,71,4607,24.85
2025-10-05 22:49:36,3.076,70.5,4608,24.85
2025-10-05 22:52:54,3.074,70.4,4617,24.82
2025-10-05 22:54:02,3.076,70.6,4618,24.82
2025-10-05 22:56:59,3.075,70.7,4622,24.83
2025-10-05 22:59:48,3.075,70.8,4624,24.81
2025-10-05 23:01:58,3.076,71.3,4632,24.81
2025-10-05 23:02:54,3.073,71.2,4634,24.78
2025-10-05 23:07:24,3.075,71.4,4638,24.79
2025-10-05 23:09:34,3.077,71.3,4640,24.81
2025-10-05 23:11:44,3.075,71.3,4646,24.78
2025-10-05 23:12:54,3.076,71.4,4647,24.78
2025-10-05 23:14:30,3.075,71.2,4648,24.76
2025-10-05 23:16:54,3.076,71.2,4650,24.78
2025-10-05 23:22:54,3.074,70.7,4651,24.74
2025-10-05 23:23:29,3.074,70.7,4652,24.75
2025-10-05 23:32:54,3.076,71,4653,24.74
2025-10-05 23:37:53,3.073,70.7,4654,24.71
2025-10-05 23:41:59,3.076,71.3,4655,24.69
2025-10-05 23:42:53,3.075,71.4,4655,24.72
2025-10-05 23:49:09,3.074,71.2,4656,24.68
2025-10-05 23:51:57,3.074,71.2,4661,24.68
2025-10-05 23:52:53,3.075,71.3,4665,24.68
2025-10-06 00:02:53,3.077,71,4665,24.66
2025-10-06 00:12:53,3.074,71.3,4665,24.64
2025-10-06 00:22:53,3.074,71.4,4665,24.59
2025-10-06 00:32:53,3.074,71,4665,24.59
2025-10-06 00:42:52,3.075,69.9,4665,24.47
2025-10-06 00:52:52,3.074,70.1,4665,24.44
2025-10-06 01:02:52,3.075,70.5,4665,24.41
2025-10-06 01:06:49,3.076,70.7,4666,24.38
2025-10-06 01:10:24,3.077,71,4672,24.44
2025-10-06 01:12:52,3.075,71.2,4672,24.41
2025-10-06 01:19:06,3.075,71.3,4673,24.44
2025-10-06 01:21:20,3.075,71.1,4678,24.44
2025-10-06 01:22:52,3.074,70.6,4678,24.42
2025-10-06 01:26:44,3.075,71.1,4679,24.44
2025-10-06 01:29:36,3.075,71.1,4683,24.44
2025-10-06 01:32:32,3.076,70.8,4685,24.45
2025-10-06 01:32:52,3.075,70.9,4686,24.44
2025-10-06 01:35:03,3.075,70.4,4692,24.42
2025-10-06 01:42:43,3.075,70.4,4693,24.39
2025-10-06 01:42:51,3.075,70.4,4693,24.39
2025-10-06 01:49:02,3.075,70.8,4694,24.39
2025-10-06 01:52:51,3.074,70.4,4696,24.38
2025-10-06 01:54:27,3.077,70.1,4697,24.38
2025-10-06 02:02:51,3.075,70.7,4698,24.35
2025-10-06 02:12:51,3.073,70.9,4698,24.32
2025-10-06 02:22:51,3.075,70.9,4698,24.32
2025-10-06 02:32:50,3.073,70.9,4698,24.32
2025-10-06 02:34:25,3.076,70.9,4699,24.32
2025-10-06 02:42:50,3.075,71.1,4699,24.3
2025-10-06 02:46:40,3.075,71.1,4700,24.32
2025-10-06 02:52:12,3.074,71.3,4701,24.3
2025-10-06 02:52:50,3.074,71.3,4701,24.3
2025-10-06 02:57:49,3.075,71.3,4702,24.3
2025-10-06 03:02:50,3.074,71.4,4702,24.28
2025-10-06 03:05:48,3.074,71.3,4703,24.3
2025-10-06 03:11:44,3.075,71.3,4704,24.28
